2021-06-02T11:16:26,2021-06-02T11:27:12,403,Verkkosaari,123,Näkinsilta,1843,643
2021-06-02T11:16:23,2021-06-02T11:22:53,027,Eerikinkatu,063,Jätkäsaarenlaituri,1037,385
2021-06-02T11:16:23,2021-06-02T11:25:55,135,Velodrominrinne,116,Linnanmäki,1406,568
2021-06-02T11:16:15,2021-06-02T11:35:40,066,Ehrenströmintie,040,Hakaniemi (M),2985,1160
2021-06-02T11:16:06,2021-06-02T11:25:46,142,Koskelantie,134,Haukilahdenkatu,2158,575
2021-06-02T11:16:02,2021-06-02T11:32:37,019,Rautatientori / itä,059,Salmisaarenranta,2971,991
2021-06-02T11:16:00,2021-06-02T11:20:37,105,Tilkantori,095,Munkkiniemen aukio,967,268
2021-06-02T11:15:59,2021-06-02T11:23:15,055,Puistokaari,051,Itälahdenkatu,1533,432
2021-06-02T11:15:56,2021-06-02T11:38:58,057,Lauttasaaren ostoskeskus,065,Hernesaarenranta,4043,1378
2021-06-02T11:15:52,2021-06-02T11:23:02,036,Apollonkatu,024,Mannerheimintie,1282,425
2021-06-02T11:15:50,2021-06-02T11:38:20,057,Lauttasaaren ostoskeskus,065,Hernesaarenranta,4018,1346
2021-06-02T11:15:50,2021-06-02T11:31:21,019,Rautatientori / itä,059,Salmisaarenranta,2903,926
2021-06-02T11:15:46,2021-06-02T11:39:45,902,Derby Business Park,091,Seurasaari,5564,1437
2021-06-02T11:15:40,2021-06-02T11:20:39,061,Länsisatamankatu,030,Itämerentori,913,301
2021-06-02T11:15:40,2021-06-02T11:20:30,519,Tapionaukio,527,Otsolahti,830,288
2021-06-02T11:15:38,2021-06-02T11:32:44,129,Pernajantie,035,Cygnaeuksenkatu,3124,1026
2021-06-02T11:15:37,2021-06-02T11:26:36,058,Lauttasaarensilta,055,Puistokaari,2070,654
2021-06-02T11:15:33,2021-06-02T11:20:40,161,Eteläesplanadi,025,Narinkka,939,302
2021-06-02T11:15:25,2021-06-02T11:38:03,006,Hietalahdentori,002,Laivasillankatu,2217,1353
